trans_id,cust_id,account,card_nbr,tranno,month_nbr,nill,trans_type,txn_datetime
1,1,1254231512,1234123412341234,483,5,98.25,消费,2020-8-9
2,2,1654231512,1234353412531234,483,5,98.25,消费,2020-8-9
3,1,1654231512,1234353535353234,483,5,98.25,消费,2020-8-9
4,2,1654231512,1234353353661234,483,5,98.25,消费,2020-8-9
5,3,1654231512,1234353535341234,483,5,98.25,消费,2020-8-9
6,2,1654231512,1233553412341234,483,5,98.25,消费,2020-8-9
7,5,1654231512,1235353412341234,483,5,98.25,消费,2020-8-9
8,6,1654231512,1234353532341234,483,5,98.25,消费,2020-8-9
9,7,1654231512,1234353535353234,483,5,98.25,消费,2020-8-9
10,8,1254231512,1234123333341234,483,5,98.25,消费,2020-8-9
11,9,1654231512,1234555542341234,483,5,98.25,消费,2020-8-9
12,10,1654231512,1235553412341234,483,5,98.25,消费,2020-8-9
13,2,1654231512,1233353412341234,483,5,98.25,消费,2020-8-9
14,6,1654231512,1234377341234124,483,5,98.25,消费,2020-8-9
15,9,1654231512,1236653412341234,483,5,98.25,消费,2020-8-9
16,4,1654231512,1235555512341234,483,5,98.25,消费,2020-8-9
17,4,1654231512,1234444444441234,483,5,98.25,消费,2020-8-9
18,3,1654231512,1234352532341234,483,5,98.25,消费,2020-8-9
